SR No.,Card_No,Bill_No,BillDate,BillTime,Actual_Pax,Pos_Code,Food,Disc_Food,Soft_Bev,Disc_Soft_Bev,Dom_Liq,Disc_Dom_Liq,Imp_Liq,Disc_Imp_Liq,Tobacco,Disc_Tobacco,Misc,Grossbilltotal,Disc_Misc,Tax,status,error_description
1,10166492,414586,8-Oct-2019,21:19,2,0002,1325,662,0,0,0,0,0,0,0,0,0,1325,0,119,SYNC_ERROR,duplicate record
2,290000001,414589,8-Oct-2019,22:07,4,0002,4650,2325,0,0,0,0,0,0,0,0,0,4650,0,418,SYNC_ERROR,duplicate record
3,10135483,414585,8-Oct-2019,20:44,4,0002,6875,3437,0,0,1300,390,0,0,0,0,0,8175,0,619,SYNC_ERROR,duplicate record
4,290000001,414593,9-Oct-2019,20:34,5,0002,9250,2775,450,0,0,0,0,0,0,0,0,9700,0,1246,SYNC_ERROR,duplicate record
5,107051558,414592,9-Oct-2019,20:32,4,0002,7450,3700,195,0,3850,1155,0,0,0,0,0,11445,0,701,SYNC_ERROR,duplicate record
6,290000001,414633,13-Oct-2019,21:48,4,0002,2325,105,0,0,0,0,0,0,0,0,0,2325,0,293,SYNC_ERROR,duplicate record
7,10166385,414625,13-Oct-2019,20:06,4,0002,2425,727,0,0,0,0,0,0,0,0,0,2425,0,306,SYNC_ERROR,duplicate record
8,10165305,414638,14-Oct-2019,20:34,5,0002,8250,2475,0,0,0,0,0,0,0,0,0,8250,0,1179,SYNC_ERROR,duplicate record
9,10178607,414639,14-Oct-2019,21:19,2,0002,1975,720,0,0,0,0,0,0,0,0,0,1975,0,284,SYNC_ERROR,duplicate record
10,290000001,414652,15-Oct-2019,21:14,10,0002,8175,4087,0,0,0,0,0,0,0,0,0,8175,0,3736,SYNC_ERROR,duplicate record
